Familia;Proveedor;Codigo;Descripcion;Costo nuevo SIN IVA;Costo viejo SIN IVA;Costo viejo con IVA;Precio;Coef viejo
TELAS;ALHAMBRA;AL09-085;TELA ART 7934  TELA BELGICA  3.00;;17798;21535,58;41960;2,357568266
TELAS;ALHAMBRA;AL09-086;TELA ART 13045  FRANCESCA  2.80;;18852;22810,92;44520;2,361553151
TELAS;ALHAMBRA;AL09-087;TELA ART 20220 ORGANZA LINO 100% 3.00;;54860;66380,6;129400;2,358731316
TELAS;ALHAMBRA;AL09-089;BLACK OUT  ART 426  BASIC 100% 2.80;;16670;20170,7;39400;2,363527295
TELAS;ALHAMBRA;AL09-090;BLACK OUT  ART 511  DUO LUCA  2.80;;24504;29649,84;57800;2,358798563
TELAS;ALHAMBRA;AL09-091;BLACK OUT  ART 644  DUO TRAMA  2.80;;20447;24740,87;48200;2,357314031
TELAS;ALHAMBRA;AL09-092;BLACK OUT  ART 715  DUO PLANO  2.80;;17237;20856,77;40660;2,358879155
TELAS;ALHAMBRA;AL09-093;BLACK OUT  ART 1083  SUN OUT SHANTUG 2.80;;12886;15592,06;30400;2,359149465
TELAS;ALHAMBRA;AL09-094;BLACK OUT  ART 1350  GARDENIA  1.40;;15692;18987,32;37100;2,364262044
TELAS;ALHAMBRA;AL09-095;BLACK OUT  ART 1355  GARDENIA 2.80;;31396;37989,16;74000;2,356988151
TELAS;ALHAMBRA;AL09-096;BLACK OUT  ART 1381 CAMUSSA 100% 2,80;;27724;33546,04;65400;2,35896696
TELAS;ALHAMBRA;AL09-097;BLACK OUT  ART 1748  SPRING 100% 1.43;;12812;15502,52;30200;2,357165158
TELAS;ALHAMBRA;AL09-098;BLACK OUT  ART 1750  SPRING 100% 2.80;;25628;31009,88;60400;2,356797253
TELAS;ALHAMBRA;AL09-099;TELA ART 166 GABARDINA 6 OZ  1.60;;3328;4026,88;7860;2,361778846
TELAS;ALHAMBRA;AL09-100;TELA ART 168 GABARDINA 8 OZ  1.60;;4149;5020,29;9790;2,359604724
TELAS;ALHAMBRA;AL09-101;TELA ART 280 PERCAL 144 HILOS  2.90;;4936;5972,56;11640;2,358184765
TELAS;ALHAMBRA;AL09-102;TELA ART 296 PERCAL 180 HILOS  2.95;;6967;8430,07;16440;2,359695708
TELAS;ALHAMBRA;AL09-103;TELA ART 1232 TUSOR FOLK LISO 2.70;;9728;11770,88;22960;2,360197368
TELAS;ALHAMBRA;AL09-104;TELA ART 1288 TUSOR FOLK RAYADO 2.70;;10732;12985,72;25320;2,359299292
